pot_num,noise_sigma,noise_every,train_energy_rmse,train_energy_atom_rmse,train_forces_rmse,val_energy_rmse,val_energy_atom_rmse,val_forces_rmse,train_time
1,0.0001,50,1.3999542936652623,0.03338012168214069,0.26888885789185146,1.437465626919529,0.03285932253991553,0.2791820223722999,1199.0897610001266
2,0.0001,50,1.3999542936652425,0.03338012168214024,0.2688888578918533,1.437465626919497,0.032859322539915393,0.27918202237230205,1085.920414276421
3,0.0001,50,1.399954293659341,0.033380121682088315,0.26888885789259526,1.4374656269110087,0.03285932253981562,0.27918202237297396,1127.7563908658922
4,0.0001,50,1.3999542936650948,0.033380121682144194,0.268888857891854,1.43746562691934,0.032859322539919536,0.279182022372303,1171.7422743178904
5,0.0001,50,1.3999542936651426,0.033380121682140565,0.2688888578918591,1.4374656269193407,0.032859322539914027,0.2791820223723057,1220.2614671364427
