pot_num,train_epa_rmse,train_forces_rmse,val_epa_rmse,val_forces_rmse,train_time,steps,epochs,final_loss
1,0.026439942923482868,0.7283693258577612,0.042410930135468226,1.060286740486414,312.63727783202194,1500,299,13.417377770493996
2,0.027540903737982136,0.732096815694684,0.044058219212151584,1.065146543929944,312.6588319258299,1500,299,13.038523809277994
3,0.027423371924725964,0.7272154355690496,0.044279033905510884,1.0576479695615826,313.66887277411297,1500,299,14.38255731016215
4,0.027033765595592285,0.7190698262571854,0.04344804493754244,1.0467417316359766,313.48922505090013,1500,299,15.603346452614534
5,0.02845048991767308,0.7430110508200498,0.04852108226066222,1.0800458974415292,314.35547557100654,1500,299,16.43397432800313
