clip,lr,pot_num,train_epa_rmse,train_forces_rmse,val_epa_rmse,val_forces_rmse,train_time,steps,epochs,final_loss
1,0.001,1,0.10190029997832858,1.529964474208764,0.19442224645735195,2.0989643013277033,279.9573918618262,1000,199,116.32217371263015
1,0.001,2,0.08811307213554255,1.5833302827426956,0.1636830317470794,2.108485750604891,275.94360345229506,1000,199,105.0290108469022
1,0.001,3,0.07330683716615373,1.6530573972917317,0.12482666571938837,2.228789126611565,287.0426767822355,1000,199,56.905863031249424
1,0.001,4,0.13225070379006784,2.137237096954731,0.18632547015255746,2.825724543523213,272.89051058515906,1000,199,144.3623449594341
1,0.001,5,0.10850430076869494,1.3000873022988038,0.1951777719114052,1.836348258022017,278.3696616925299,1000,199,61.817022861080495
1,0.003,1,0.13301008071184214,1.4534384409275485,0.20811663064831207,2.007505768674225,278.1553208306432,1000,199,110.2579362537747
1,0.003,2,0.13335205927382623,1.4667953234767954,0.16486017609858158,1.9594960388769427,275.04418703354895,1000,199,98.96248484856743
1,0.003,3,0.08961935600564809,1.306077379619312,0.11542705369655688,1.8108577552825456,277.0637697931379,1000,199,43.195831122182206
1,0.003,4,0.19297478529206816,1.8828902335067135,0.214870990309084,2.562949776014624,288.8162378631532,1000,199,142.39260335657934
1,0.003,5,0.17341245381768058,1.2388432296549563,0.23884032564106897,1.7647080521930416,284.93977312743664,1000,199,63.69903457985827
1,0.01,1,0.1759587225714472,1.140827253150059,0.21492932202125425,1.6185756505576376,284.2848376855254,1000,199,74.01736856717544
1,0.01,2,0.21130693036543627,1.2611317444070804,0.21159500606967088,1.8424490520119556,263.29055854305625,1000,199,81.67869899827555
1,0.01,3,0.15350726861454297,1.0879684948187582,0.1254966233536334,1.5671100526046142,271.8513751607388,1000,199,43.209629699818265
1,0.01,4,0.3781799961325625,1.553005810159542,0.41222469182976,2.1343660468842613,272.34527483582497,1000,199,184.54622967631622
1,0.01,5,0.23575184684800934,1.0299476114957031,0.2781959419782619,1.4739176105590381,273.65445283800364,1000,199,67.91522652888565
3,0.001,1,0.13301008071184242,1.4534384409275485,0.20811663064831232,2.007505768674225,280.47566123120487,1000,199,110.25793625377464
3,0.001,2,0.13335205927382598,1.4667953234767956,0.1648601760985814,1.9594960388769427,295.24997670575976,1000,199,98.96248484856746
3,0.001,3,0.08961935600564766,1.3060773796193121,0.11542705369655669,1.8108577552825456,276.3139702118933,1000,199,43.19583112218225
3,0.001,4,0.19297478529206688,1.882890233506714,0.2148709903090828,2.562949776014624,279.1714208200574,1000,199,142.39260335657954
3,0.001,5,0.17341245381768108,1.2388432296549559,0.23884032564106983,1.764708052193041,294.66056967526674,1000,199,63.69903457985808
3,0.003,1,0.17623133208261826,1.1700328149213806,0.25125589492773526,1.6480566909346728,268.8693914078176,1000,199,78.87756002601579
3,0.003,2,0.20425821933019944,1.2662535067571103,0.24302155855689453,1.85069709487353,273.03592728450894,1000,199,106.88038211431984
3,0.003,3,0.1371414044417552,1.0890669214502608,0.1722892800119834,1.562946041100513,300.7981141638011,1000,199,48.20897726298605
3,0.003,4,0.3675675350825881,1.5579519677050666,0.4313793004512069,2.153250162234913,286.7173418197781,1000,199,182.18328535268932
3,0.003,5,0.2217100128543135,1.0664717159993737,0.26621541357633416,1.5142389664590112,270.9843869097531,1000,199,64.20708541541023
3,0.01,1,0.24142567442807816,0.7532383402179234,0.25101051003076086,1.1340647065457858,291.21336084231734,1000,199,53.82951370677044
3,0.01,2,0.35207394514805906,0.8458970358237843,0.3830107388034508,1.2480540041896235,287.07479517906904,1000,199,34.197774298551046
3,0.01,3,0.049074660495724676,0.7773124176073655,0.036527717921127544,1.1491402100616892,276.3759778961539,1000,199,71.1942952734472
3,0.01,4,0.043270523394913114,0.8171971272775644,0.06621494888692507,1.1737748727646158,285.63980850204825,1000,199,92.86570994720255
3,0.01,5,0.1886735331128334,0.8079201071115292,0.1984836929853696,1.1722590648125555,279.9302796572447,1000,199,81.82721736024092
5,0.001,1,0.15988198984696508,1.3459159918576136,0.16467373850154787,1.8787731636777165,279.610557558015,1000,199,105.15804095919295
5,0.001,2,0.1889336367362375,1.3596671385978243,0.21953127666576666,1.8484811116947832,269.4491842892021,1000,199,102.20768447500723
5,0.001,3,0.11079859068530172,1.1843797257490014,0.13305863370620016,1.6670807867757167,284.9207112826407,1000,199,40.803891645864724
5,0.001,4,0.24954895402591518,1.7672831226466825,0.28328879600349793,2.440755669736536,279.5953163802624,1000,199,149.99595859469866
5,0.001,5,0.19983430614442282,1.1876926314275653,0.24753404710093554,1.6900036553835787,268.10613526776433,1000,199,66.00989272666594
5,0.003,1,0.21238662480712114,0.9896385364443593,0.25589575960316824,1.4530767660651966,250.88860347494483,1000,199,86.36436276002955
5,0.003,2,0.25792145911863074,1.136241853128356,0.2852543338961735,1.6869468353532864,274.2125544529408,1000,199,96.29512429686477
5,0.003,3,0.18413339376056448,0.9918311241410442,0.2105820348586896,1.4511472703967478,292.7296361923218,1000,199,54.57151912536876
