pot_num,train_energy_atom_rmse,train_forces_rmse,val_energy_atom_rmse,val_forces_rmse,train_time,nit,success,final_loss
1,0.3595490960936937,0.5162509284810425,0.4999523863048987,0.529053302649191,206.34199749212712,197,0,188.86747284573244
2,0.35954909721279527,0.5162509284948805,0.49995238682401705,0.5290533016397249,249.11459958646446,305,0,188.86747284573144
3,0.35954909685671765,0.5162509289184013,0.49995238729778024,0.529053303463255,259.52192739676684,304,0,188.86747284573093
4,0.35954909863898166,0.5162509285407448,0.4999523869788653,0.5290533024376393,330.64794368110597,237,0,188.8674728457313
5,0.3595490961865184,0.5162509295229121,0.4999523863312657,0.5290533050696806,158.9809853155166,143,0,188.86747284573158
