pot_num,train_energy_rmse,train_energy_atom_rmse,train_forces_rmse,val_energy_rmse,val_energy_atom_rmse,val_forces_rmse,train_time,nit,success,final_loss
1,0.03696566720265583,0.0011551771000829947,0.03229805567122623,0.07978453058065507,0.002493266580645471,0.05625468548069831,2830.832809768617,5000,0,0.13933694316336998
2,0.03634701368063433,0.0011358441775198228,0.03115841128943852,0.07447677876257075,0.002327399336330336,0.05570972455577788,2919.1629913151264,5000,0,0.14263603748874432
3,0.03376076509669732,0.0010550239092717913,0.02957571610488931,0.06904411307735409,0.002157628533667315,0.055808401351253846,3003.7970395870507,5000,0,0.1427951621622029
4,0.03476769043575394,0.0010864903261173105,0.03097530048435072,0.07192412404212173,0.002247628876316304,0.054413648884529126,2864.931249305606,5000,0,0.13950704711577422
5,0.03614041518718752,0.00112938797459961,0.03102558950084893,0.07810841332063605,0.0024408879162698765,0.05481990204665492,2854.7622372582555,4368,0,0.14133801890766556
