pot_num,train_energy_rmse,train_energy_atom_rmse,train_forces_rmse,val_energy_rmse,val_energy_atom_rmse,val_forces_rmse,train_time
1,0.03826308913410464,0.00119572153544077,0.030217231683070427,0.06841816561411579,0.0021380676754411184,0.04778678170639336,2874.589035641402
2,0.03563830982450296,0.0011136971820157175,0.029256959291728682,0.06527807613465232,0.002039939879207885,0.04670957180444622,2343.0240347348154
3,0.0385703185209091,0.0012053224537784094,0.03064226606958098,0.0722216145837212,0.0022569254557412875,0.04868673413922024,2978.1313232518733
4,0.03551746346895775,0.0011099207334049296,0.02910387442019767,0.06475822843321992,0.0020236946385381225,0.046423240435567587,2826.3772488497198
5,0.036876547901454476,0.0011523921219204524,0.03021942487688757,0.06598015961325383,0.0020618799879141823,0.04770459418582241,3029.184070687741
