pot_num,train_energy_atom_rmse,train_forces_rmse,val_energy_atom_rmse,val_forces_rmse,train_time,nit,success,final_loss
1,0.06430510422712818,0.6847276204601335,0.11057126715879598,0.8973234830956165,66.29023834690452,88,1,5.832469736872805
2,0.008551894805286028,0.19150358183083868,0.013970573795064303,0.2772637966519235,76.72602916136384,117,0,5.832469736872806
3,0.00855189480829974,0.19150358181913596,0.013970573890748397,0.2772637964205944,89.63405158370733,114,0,5.832469736872533
4,0.00855189481801093,0.19150358181297106,0.013970573901095483,0.2772637962294106,56.72737658023834,75,1,5.8324697368728025
5,0.008551894816210895,0.19150358179364155,0.013970573912752568,0.27726379626246633,117.98469655960798,99,0,5.832469736872782
