pot_num,train_energy_rmse,train_energy_atom_rmse,train_forces_rmse,val_energy_rmse,val_energy_atom_rmse,val_forces_rmse,train_time
1,0.2756558585528202,0.008614245579775632,0.19173623158985184,0.4439838822936952,0.013874496321677974,0.2771154614068198,62.52455244958401
2,0.27565585855353125,0.008614245579797852,0.19173623158978328,0.44398388229839664,0.013874496321824895,0.27711546140630633,78.07398123294115
3,0.2756558585535258,0.008614245579797682,0.19173623158978384,0.44398388229839153,0.013874496321824735,0.27711546140630766,64.86352874338627
4,0.2756558585336672,0.0086142455791771,0.19173623159206993,0.44398388235478015,0.01387449632358688,0.27711546142292137,45.11885383725166
5,0.27565585855873787,0.008614245579960558,0.19173623158864977,0.44398388249650206,0.01387449632801569,0.2771154613979164,51.945874474942684
