pot_num,train_energy_rmse,train_energy_atom_rmse,train_forces_rmse,val_energy_rmse,val_energy_atom_rmse,val_forces_rmse,train_time,nit,success,final_loss
1,0.048971799062400206,0.0015303687207000065,0.04170121978245861,0.0888597789294176,0.0027768680915443,0.07242979040379709,321.8048639204353,500,0,0.1792311836375411
2,0.04379720509845627,0.0013686626593267584,0.03891307201909524,0.09070356602600717,0.002834486438312724,0.06961794301004325,321.9571776520461,500,0,0.21010933329693762
3,0.04382672419239182,0.0013695851310122444,0.03664058711662205,0.08670078353552757,0.0027093994854852366,0.06301421445588708,330.6343908198178,500,0,0.19572245021592377
4,0.045151483124184336,0.0014109838476307605,0.03880537709912087,0.08903436800776669,0.002782324000242709,0.0679856962577034,319.62123781070113,500,0,0.24394304458657898
5,0.04857071247240577,0.0015178347647626803,0.04181841625621284,0.09471641337303192,0.0029598879179072476,0.07467093505000862,324.8187252599746,500,0,0.2695773928347074
