pot_num,train_energy_atom_rmse,train_forces_rmse,val_energy_atom_rmse,val_forces_rmse,train_time,nit,success,final_loss
1,0.008551894830945303,0.19150358186262398,0.01397057390035929,0.2772637961107942,73.91537335887551,88,0,5.832469736872785
2,0.008551894819886004,0.19150358180334598,0.013970573903041147,0.27726379642636545,78.73278944194317,97,0,5.832469736872791
3,0.008551894820912787,0.19150358181137347,0.013970573888709516,0.2772637961876409,96.02493749931455,125,1,5.8324697368727945
4,0.008551894816622472,0.1915035818105751,0.013970573865986536,0.27726379640299903,87.98763415776193,102,0,5.832469736872791
5,0.008551894795752534,0.19150358181126811,0.013970573905259331,0.2772637962825231,81.88573070429265,90,0,5.832469736872789
