pot_num,train_energy_atom_rmse,train_forces_rmse,val_energy_atom_rmse,val_forces_rmse,train_time,nit,success,final_loss
1,0.35954909863774964,0.5162509267269177,0.4999523888568609,0.5290533016753268,258.8821136727929,245,0,188.86747284572874
2,0.5476666435052554,0.5586118844128463,0.5716278845664288,0.5743602633559803,319.1355863958597,152,0,188.86747284573147
3,0.35954909674308166,0.5162509282312473,0.49995238726479113,0.529053301555553,208.54435174539685,167,0,188.86747284573167
4,0.3595490989747545,0.5162509281058996,0.4999523887114418,0.5290533008728341,169.85183915123343,195,0,188.86747284573173
5,0.35954909273744357,0.5162509288931978,0.4999523809352399,0.5290533028176402,268.1835110448301,182,0,188.86747284573215
